elapsed_s,x_m,y_m,x_covariance_m2,y_covariance_m2,yaw_covariance_rad2
87.234374,11.480129306102517,-1.077392397320776,0.16508028316805692,0.047414463011213645,0.0651843551745883
88.894119,11.744442792839775,-1.0888883226294204,0.16222429830628946,0.042802699308103896,0.0609729102374883
90.44695,11.989735412390866,-1.0725023103405769,0.1538863436067133,0.04631963314807658,0.06182860777122954
92.10606,12.228579618421936,-1.0736724322359499,0.16626046174410083,0.05153170567850576,0.06222255797822549
93.867214,12.467582989228827,-1.1138559747445713,0.18699924809290222,0.05354164116152754,0.06634057992968215
95.630929,12.749616535337603,-1.1893723150842146,0.19641693321234896,0.06072403123019775,0.07329554128495062
97.397949,13.01498480956534,-1.2802101656943594,0.20065245993386452,0.06067132019885938,0.07171946485047101
99.157962,13.29355562718115,-1.3502321986707475,0.19336499629269246,0.05916414136873887,0.07692907441282985
100.816274,13.560485456115725,-1.3686364985509962,0.19102297797519804,0.06843334805267687,0.07588985903912193
103.826167,13.858627570682067,-1.3908397809719468,0.21937326304115004,0.06052759882956087,0.07481664427983986
106.519005,14.177615313336245,-1.4285293066936113,0.2294762261737926,0.06333236494731082,0.07489019456119884
108.171029,14.437128853118761,-1.4207859917939383,0.24811637746364473,0.06105455020585098,0.0665806120189976
109.732315,14.730178236134034,-1.4109288608021413,0.256369452337697,0.05910447150256667,0.06487187699203577
111.388013,15.027633654093036,-1.408127125681096,0.25975728675140514,0.05578044143606291,0.061961050464394526
113.044068,15.318417623992113,-1.421272021022662,0.24272511933440166,0.05603211646037786,0.0673549250069152
114.705212,15.611215992406848,-1.4376183656846664,0.22670219896799262,0.049975287357892785,0.06656980423157462
116.363668,15.881296342062294,-1.4507258769324711,0.2256175814146887,0.05084090865619261,0.06139140477563463
118.019927,16.157442892240507,-1.4556964094822347,0.245518329399686,0.04585124007980195,0.061499514914799096
119.781141,16.41985626222439,-1.490130750925944,0.26116923580303636,0.0469862506868852,0.06265584731968563
121.64844,16.731639073540094,-1.5699698211225326,0.26941828241885696,0.043424201617916845,0.06249858937153324
123.512659,17.06359766452834,-1.6421828780648304,0.28434986905647025,0.044662523706203924,0.06497703280563565
125.275925,17.336668419785163,-1.6813860663946223,0.29900625350850346,0.04486785788203128,0.06581525395940187
127.042339,17.634186763958457,-1.70645165848921,0.29591430227562715,0.041535375126086585,0.06319623381237548
130.7701,17.902478241804975,-1.7433385334391764,0.2996854324866998,0.039432984759936285,0.07186731404808559
132.531496,18.196242102329695,-1.7628610118568067,0.3083902189728433,0.04144493037352732,0.07572809430313775
134.192123,18.504844644821496,-1.7436591087732407,0.30373467896741974,0.05221732144557124,0.0798506414417671
135.848462,18.771816475682556,-1.7377015843770496,0.2822079618902463,0.05918528294278806,0.08592205079059226
137.51247,19.034989271855927,-1.734393678430048,0.2769279588924605,0.0666144957718188,0.08637842026343254
