t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
12.871,1788242742.328004,1788242741.428188,-899.817,105.038,7e-05,-0.00798
12.97,1788242742.429938,1788242741.526464,-903.474,98.276,7e-05,-0.00798
13.074,1788242742.532895,1788242741.630672,-902.223,104.208,7e-05,-0.00798
13.178,1788242742.636155,1788242741.734587,-901.568,103.916,7e-05,-0.00798
13.285,1788242742.739727,1788242741.841939,-897.787,107.352,7e-05,-0.00798
13.385,1788242742.842819,1788242741.941339,-901.48,99.399,7e-05,-0.00798
13.487,1788242742.947142,1788242742.043905,-903.236,102.567,7e-05,-0.00798
13.59,1788242743.049463,1788242742.146509,-902.954,102.604,7e-05,-0.00798
13.693,1788242743.152307,1788242742.249506,-902.801,102.997,7e-05,-0.00798
13.798,1788242743.255528,1788242742.354546,-900.983,105.04,7e-05,-0.00798
13.949,1788242743.358767,1788242742.505584,-853.182,151.039,7e-05,-0.00798
14.004,1788242743.462,1788242742.560422,-901.578,54.837,7e-05,-0.00798
14.106,1788242743.565569,1788242742.662706,-902.863,102.284,7e-05,-0.00798
14.211,1788242743.668727,1788242742.768204,-900.523,105.498,7e-05,-0.00798
14.314,1788242743.77171,1788242742.870921,-900.789,102.717,7e-05,-0.00798
14.418,1788242743.874879,1788242742.974817,-900.063,103.896,7e-05,-0.00798
14.534,1788242743.978141,1788242743.090628,-887.513,115.811,7e-05,-0.00798
14.659,1788242744.081276,1788242743.215773,-865.504,125.145,7e-05,-0.00798
14.726,1788242744.184631,1788242743.28233,-902.301,66.557,7e-05,-0.00798
14.829,1788242744.287741,1788242743.386076,-901.665,103.746,7e-05,-0.00798
14.932,1788242744.391241,1788242743.489269,-901.972,103.193,7e-05,-0.00798
15.035,1788242744.494561,1788242743.591984,-902.577,102.715,7e-05,-0.00798
15.138,1788242744.597676,1788242743.694966,-902.71,102.982,7e-05,-0.00798
15.244,1788242744.700717,1788242743.80033,-900.388,105.364,7e-05,-0.00798
15.346,1788242744.804018,1788242743.902503,-901.515,102.174,7e-05,-0.00798
15.451,1788242744.907705,1788242744.007914,-899.791,105.411,7e-05,-0.00798
15.553,1788242745.010339,1788242744.110179,-900.159,102.265,7e-05,-0.00798
15.654,1788242745.113623,1788242744.211203,-902.42,101.024,7e-05,-0.00798
15.758,1788242745.217335,1788242744.314513,-902.822,103.31,7e-05,-0.00798
15.862,1788242745.320112,1788242744.418961,-901.151,104.448,7e-05,-0.00798
15.967,1788242745.423433,1788242744.524258,-899.174,105.297,7e-05,-0.00798
16.07,1788242745.52678,1788242744.626945,-899.835,102.687,7e-05,-0.00798
16.171,1788242745.630123,1788242744.727597,-902.526,100.652,7e-05,-0.00798
16.275,1788242745.7333,1788242744.831397,-901.903,103.8,7e-05,-0.00798
16.377,1788242745.836663,1788242744.9339,-902.763,102.503,7e-05,-0.00798
16.482,1788242745.939968,1788242745.038773,-901.195,104.873,7e-05,-0.00798
16.586,1788242746.043339,1788242745.142571,-900.768,103.798,7e-05,-0.00798
