t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
261.34,1788242989.800122,10.8945,-0.6419,-0.316,0.166112,-0.0304479,0.0362384,0.0623196,0.20235,0.40757,0.19036,14.3033
262.91,1788242991.353968,11.1762,-0.6548,-0.105,0.167485,-0.0245599,0.037601,0.0678593,0.205086,0.40925,0.19391,14.9254
264.455,1788242992.908776,11.471,-0.6834,-1.882,0.140875,-0.0133476,0.042711,0.0709835,0.183586,0.37533,0.20667,15.2652
266.111,1788242994.566646,11.7475,-0.6943,-1.4,0.138381,-0.0178808,0.0413267,0.0721367,0.179708,0.37200,0.20329,15.3887
267.77,1788242996.226158,12.0255,-0.7085,-3.983,0.131953,-0.0219296,0.0457557,0.0847402,0.177708,0.36325,0.21391,16.6789
269.426,1788242997.885411,12.2663,-0.7019,-5.363,0.123371,-0.0276459,0.0487225,0.0768465,0.172094,0.35124,0.22073,15.8831
271.082,1788242999.542649,12.5335,-0.7412,-6.31,0.125532,-0.025682,0.0535129,0.0759474,0.179045,0.35430,0.23133,15.7899
272.745,1788243001.201325,12.8111,-0.7759,-4.473,0.124329,-0.0250074,0.0611952,0.0780375,0.185524,0.35260,0.24738,16.0057
274.399,1788243002.859659,13.1211,-0.8152,-2.059,0.134062,-0.0277797,0.0488827,0.0679768,0.182945,0.36615,0.22109,14.9384
276.06,1788243004.518641,13.3763,-0.8465,-0.851,0.131076,-0.0290776,0.0425243,0.0703851,0.173601,0.36204,0.20621,15.2007
277.822,1788243006.281827,13.655,-0.8566,-3.568,0.149751,-0.0330147,0.0421785,0.0659933,0.191929,0.38698,0.20537,14.7188
280.001,1788243008.457898,13.7869,-0.8638,8.406,0.153051,-0.0350086,0.036385,0.0515343,0.189436,0.39122,0.19075,13.0068
281.871,1788243010.325128,13.888,-0.8549,20.889,0.150061,-0.0323674,0.0299346,0.0459817,0.179996,0.38738,0.17302,12.2861
283.009,1788243011.467799,13.9296,-0.858,10.253,0.133317,-0.0275679,0.0237496,0.0373214,0.157066,0.36513,0.15411,11.0688
283.544,1788243011.98752,13.9494,-0.8589,-2.316,0.143314,-0.0278176,0.0202069,0.0366333,0.163521,0.37857,0.14215,10.9663
285.393,1788243013.849568,14.2309,-0.9143,-8.123,0.174711,-0.03346,0.0248708,0.0465453,0.199582,0.41798,0.15770,12.3612
287.055,1788243015.50869,14.5315,-0.9604,-3.974,0.169537,-0.0252445,0.0231226,0.0498339,0.192659,0.41175,0.15206,12.7904
288.712,1788243017.166666,14.841,-0.9871,-1.69,0.176985,-0.0233436,0.0239382,0.0470348,0.200923,0.42070,0.15472,12.4260
290.367,1788243018.82655,15.1308,-1.0096,-1.996,0.182463,-0.022672,0.0317093,0.0599314,0.214172,0.42716,0.17807,14.0265
293.372,1788243021.833433,15.3922,-1.0361,-2.9,0.200563,-0.0254052,0.0314453,0.0574089,0.232008,0.44784,0.17733,13.7282
295.345,1788243023.804775,15.666,-1.0787,-8.681,0.205694,-0.0166354,0.0337338,0.0686108,0.239427,0.45353,0.18367,15.0079
297.007,1788243025.464933,15.9354,-1.1151,-4.005,0.194797,-0.0126516,0.0389507,0.0758212,0.233748,0.44136,0.19736,15.7768
298.668,1788243027.125858,16.2008,-1.1226,-1.047,0.201709,-0.0103121,0.0472672,0.0802089,0.248976,0.44912,0.21741,16.2268
300.328,1788243028.785719,16.4597,-1.1352,-0.575,0.207713,-0.0138964,0.0514119,0.0757875,0.259125,0.45576,0.22674,15.7733
301.991,1788243030.445754,16.7199,-1.1473,-0.349,0.212323,-0.0108281,0.0464584,0.0771277,0.258781,0.46078,0.21554,15.9121
303.655,1788243032.105354,16.9825,-1.1634,-0.56,0.208586,-0.00750339,0.0487726,0.0750165,0.257359,0.45671,0.22085,15.6928
305.309,1788243033.765648,17.263,-1.1949,-1.233,0.216589,-0.00643561,0.0427121,0.0680061,0.259301,0.46539,0.20667,14.9416
306.965,1788243035.424409,17.5305,-1.2198,0.535,0.232726,-0.0106713,0.0422981,0.0634078,0.275024,0.48242,0.20566,14.4276
309.87,1788243038.329978,17.7589,-1.2122,11.589,0.261611,-0.00898927,0.0359674,0.0568874,0.297578,0.51148,0.18965,13.6657
313.609,1788243042.066867,17.8846,-1.1812,-1.943,0.306706,-0.00650508,0.0364249,0.0583876,0.343131,0.55381,0.19085,13.8447
315.584,1788243044.035398,18.1724,-1.2246,-4.77,0.3007,-0.00883869,0.0283125,0.0702703,0.329013,0.54836,0.16826,15.1883
317.24,1788243045.696301,18.4247,-1.2408,-1.843,0.304658,-0.0096785,0.0271091,0.0668688,0.331767,0.55196,0.16465,14.8161
